user_id,age_group,gender,city,income_level,meal_type,recipe_name,ingredient_category,purchase_frequency,avg_spend_per_month,review_text,rating,preferred_platform,review_text_clean,sentiment_score,sentiment_label
U1000,45-54,Other,Markham,Medium,Dinner,Dal Makhani,Spices,3,104.02,Not authentic enough.,2.1,Walmart Online,authentic enough,0.0,Negative
U1001,55-64,Male,Brampton,Medium,Breakfast,Chole Bhature,Spices,10,162.57,"Average taste, could be better.",3.7,YouTube,average taste could better,0.4404,Positive
U1002,35-44,Other,Windsor,Low,Lunch,Tandoori Chicken,Grains,3,101.42,Too spicy for me.,2.0,Instagram,spicy,0.0,Negative
U1003,55-64,Male,Mississauga,Medium,Lunch,Masala Dosa,Dairy,2,182.82,Would definitely try again!,2.5,Pinterest,would definitely try,0.4574,Positive
U1004,55-64,Male,Windsor,Medium,Breakfast,Palak Paneer,Protein,6,124.45,"Great recipe, easy to follow.",4.6,Instagram,great recipe easy follow,0.7906,Positive
U1005,25-34,Male,Windsor,High,Dinner,Biryani,Spices,3,169.19,"Great recipe, easy to follow.",3.4,Instagram,great recipe easy follow,0.7906,Positive
U1006,35-44,Female,London,High,Dinner,Biryani,Dairy,5,115.45,Too spicy for me.,1.4,Walmart Online,spicy,0.0,Negative
U1007,35-44,Female,Hamilton,High,Snack,Biryani,Spices,5,122.86,Would definitely try again!,2.3,YouTube,would definitely try,0.4574,Positive
U1008,35-44,Male,London,Medium,Dinner,Samosa,Vegetables,10,169.02,"Average taste, could be better.",3.5,Pinterest,average taste could better,0.4404,Positive
U1009,55-64,Male,London,Medium,Breakfast,Rajma Chawal,Vegetables,3,207.76,Loved the flavor!,2.9,Pinterest,loved flavor,0.636,Positive
U1010,45-54,Female,Mississauga,Medium,Dinner,Tandoori Chicken,Dairy,3,182.41,Tastes just like home cooking.,3.6,Pinterest,tastes like home cooking,0.3612,Positive
U1011,35-44,Other,Brampton,High,Dinner,Tandoori Chicken,Grains,1,155.09,Too spicy for me.,4.0,YouTube,spicy,0.0,Negative
U1012,65+,Male,Toronto,Low,Snack,Samosa,Protein,6,143.57,Loved the flavor!,2.9,Pinterest,loved flavor,0.636,Positive
U1013,55-64,Other,Ottawa,Medium,Dinner,Butter Chicken,Vegetables,3,99.72,Tastes just like home cooking.,4.9,Pinterest,tastes like home cooking,0.3612,Positive
U1014,25-34,Female,London,Medium,Snack,Rajma Chawal,Grains,1,131.81,Delicious and quick to make!,4.7,Amazon Fresh,delicious quick make,0.6114,Positive
U1015,45-54,Male,Ottawa,Medium,Snack,Chole Bhature,Protein,10,83.48,"Great recipe, easy to follow.",1.2,Amazon Fresh,great recipe easy follow,0.7906,Positive
U1016,65+,Other,Brampton,Low,Dinner,Chole Bhature,Vegetables,9,135.03,Delicious and quick to make!,2.1,Pinterest,delicious quick make,0.6114,Positive
U1017,65+,Other,Ottawa,Medium,Lunch,Biryani,Protein,1,137.6,Delicious and quick to make!,2.2,Facebook,delicious quick make,0.6114,Positive
U1018,25-34,Other,London,Medium,Breakfast,Tandoori Chicken,Spices,5,41.57,Tastes just like home cooking.,1.7,Instagram,tastes like home cooking,0.3612,Positive
U1019,45-54,Female,Mississauga,Medium,Breakfast,Paneer Tikka,Dairy,5,121.55,Too spicy for me.,2.2,Facebook,spicy,0.0,Negative
U1020,55-64,Female,Ottawa,Medium,Dinner,Butter Chicken,Vegetables,2,136.59,Would definitely try again!,2.7,YouTube,would definitely try,0.4574,Positive
